,date,username,tweet,hashtags
38,2022-12-29 23:00:00,teropongfakta,"""Saya harap dalam waktu yang tersisa dua tahun ke depan, sinergi ini terus terbangun lebih kuat demi tercapainya agenda-agenda pembangunan yang sudah direncanakan,” kata Deputi V Kepala Staf Kepresidenan #BoysPlanet  The Lord of the Rings  BMKG  Pak Ogah #dobpapua #kuhp  https://t.co/XfM8cNrbm3","['boysplanet', 'dobpapua', 'kuhp']"
39,2022-12-29 22:56:24,abctgelo,"@cardiaparva melongo bacanyaa, padahal kan setauku di KUHP baru ada larangan zina kocakkk",[]
40,2022-12-29 22:56:12,am_imez,KUHP menjaga hukum adat  https://t.co/lT42ca8AMi,[]
41,2022-12-29 22:55:27,baliandra2,2. Yang takut KPK kuat itu koruptor. Yang melemahkan KPK dg revisi UU KPK itu koruptor.  Revisi UU KPK &amp; KUHP baru meringankan hukuman koruptor.  Koruptor serasa dpt angin surga.  Syahganda: Korupsi di Era Jokowi Tumbuh Subur  https://t.co/zSf3iyAdEZ  #AniesHarapanRakyatTertindas,['aniesharapanrakyattertindas']
42,2022-12-29 22:55:26,baliandra2,1.  Revisi UU KPK dan KUHP baru meringankan hukuman koruptor.  Koruptor serasa dapat angin surga.  Syahganda: Korupsi di Era Jokowi Tumbuh Subur  https://t.co/zSf3iyAdEZ  #AniesHarapanRakyatTertindas  #AniesHarapanRakyatTertindas,"['aniesharapanrakyattertindas', 'aniesharapanrakyattertindas']"
43,2022-12-29 22:48:19,portalberitaco,KUHP menjaga hukum adat  https://t.co/m8OiyqCVIK,[]
44,2022-12-29 22:34:47,manusiagabersa1,KUHP baru akan cegah maksimal pelaku kejahatan #KUHPIndonesia #SaveKPK #HukumdanKeadilan @rutanbalige @Lapasmamasa,"['kuhpindonesia', 'savekpk', 'hukumdankeadilan']"
45,2022-12-29 22:34:46,manusiagabersa1,KUHP baru menekankan pada restorative justice  #KUHPIndonesia #SaveKPK #HukumdanKeadilan @humas_lateti @Kemenkumham_sum  https://t.co/gR1PIGAnub,"['kuhpindonesia', 'savekpk', 'hukumdankeadilan']"
46,2022-12-29 22:34:46,manusiagabersa1,KUHP baru adalah KUHP buatan asli indonesia yang sangat penting karena sesuai Indonesia  #KUHPIndonesia #SaveKPK #HukumdanKeadilan @bhp_semarang @Kumhamntt,"['kuhpindonesia', 'savekpk', 'hukumdankeadilan']"
47,2022-12-29 22:34:45,manusiagabersa1,Akademisi ini beberkan sejumlah kemajuan dalam KUHP Baru  #KUHPIndonesia #SaveKPK #HukumdanKeadilan @LapanEnim @Humas_Lapalka  https://t.co/c6wXy8IeN2,"['kuhpindonesia', 'savekpk', 'hukumdankeadilan']"
48,2022-12-29 22:34:44,manusiagabersa1,KUHP baru beri jaminan kebebasan beragama dan berkeyakinan  #KUHPIndonesia #SaveKPK #HukumdanKeadilan @Cintada16 @BapasPlg  https://t.co/qh6mSTO4sa,"['kuhpindonesia', 'savekpk', 'hukumdankeadilan']"
49,2022-12-29 22:07:32,bakergvrl,@DiajengLrst Padahal bisa dilaporin perzinahan nii. Uji coba UU KUhP yg baru,[]
