,date,username,tweet,hashtags
28,2022-12-30 06:35:15,yanT0_boges,Dukung Pengesahan KUHP #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/ZqOR1OoV9d,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
29,2022-12-30 06:35:14,yanT0_boges,Pengesahan RUU KUHP Tonggak Baru Kemajuan Indonesia #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/T6uHX57Q9s,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
30,2022-12-30 06:35:13,yanT0_boges,Revisi KUHP dilakukan hingga semua pihak sepakat dalam merumukan RKUHP #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/NIdw9j0gnC,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
31,2022-12-30 06:32:58,bersamarakyat_,"UU KUHP dan UU TPKS yang belum usai selama 10 tahun, berhasil di sah kan di era Jokowi.  Mixue | Ini YG blackpink | Greta Thunberg | Teddy | The Black Label | Rest in Peace RIP Legend | Witan | Maradona | Daisy Treasure got7 | #TAEHYUNGDAY | #JOSHUA | #HALAZIA  https://t.co/Aqx6njFMHs","['taehyungday', 'joshua', 'halazia']"
32,2022-12-30 06:30:53,khorimkarim,RUU KUHP serap aspirasi masyarakat Indonesia dengan baik! #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/4d9V7wIvmv,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
33,2022-12-30 06:30:53,khorimkarim,Dukung KUHP untuk menjadikan Indonesia yang lebih baik #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/vHXgcv339V,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
34,2022-12-30 06:30:53,khorimkarim,Revisi KUHP membedakan hinaan dan kritik terhadap pemimpin negara #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/bASILENQIL,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
35,2022-12-30 06:30:53,khorimkarim,Pemerintah upayakan implementasi pasal di KUHP baru tak jadi sarana penindasan #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/WjzvMk5vrB,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
36,2022-12-30 06:30:52,khorimkarim,KUHP baru punya unggulan muatan keseimbangan #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/c55jNxrZ67,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
37,2022-12-30 06:30:52,khorimkarim,KUHP untuk sistem pemerintahn yang lebih baik dalam pengkritikan! #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/DUtXF5cP4U,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
38,2022-12-30 06:30:52,khorimkarim,KUHP tidak melanggar hak manusia #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/J1lp0AVOIg,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
39,2022-12-30 06:30:52,khorimkarim,Pengesahan KUHP jaga keadaban demokrasi #DukungPengesahanKUHP #KUHPKemajuanIndonesia #LangkahBesarBangsaUntukKUHP #KUHPReformasiHukum  https://t.co/Lc6U7EsaPv,"['dukungpengesahankuhp', 'kuhpkemajuanindonesia', 'langkahbesarbangsauntukkuhp', 'kuhpreformasihukum']"
